,ID,Tweet,Source,Date,Likes,Retweet
104,1334326240627601408,"Immunologist Federica Benvenuti has spent 16 years working to understand a particular type of immune cell, often ca… https://t.co/gEGBXu2j2B",Sprout Social,2020-12-03 02:39:01,153,31
105,1334310141345337344,A Nature paper reports that neurons in the eyes of mice can be reprogrammed to a more youthful state in which they… https://t.co/LGw4FDwZcS,Sprout Social,2020-12-03 01:35:02,678,162
106,1334268424143462400,Fourteen world leaders asked an international group of researchers where next for the ocean economy. A collection o… https://t.co/eER1BzT28K,Sprout Social,2020-12-02 22:49:16,77,33
107,1334173194819948545,Editorial: Postdocs are the future of science and the lifeblood of the research workforce. If they don’t receive fi… https://t.co/VBOi4q2XLj,Sprout Social,2020-12-02 16:30:52,245,94
108,1334156964352434176,"Strong evidence suggests that SARS-CoV-2 originated in bats, but its journey to people remains a mystery. Scientist… https://t.co/D627oZ1Rn6",Sprout Social,2020-12-02 15:26:22,283,92
109,1334115602965860352,Scientists suggest dogs could help control the pandemic because they can screen hundreds of people an hour in busy… https://t.co/wPRJjCs0fL,Sprout Social,2020-12-02 12:42:01,217,58
110,1334072587710832641,"RT @nature: Sign up for Nature Briefing and be entered to win this fun set of lab based board games including Lovelace &amp; Babbage, History H…",Twitter Web App,2020-12-02 09:51:05,0,14
111,1333964108702605319,COVID-19 vaccine developers estimate they can make sufficient doses for more than one-third of the world’s populati… https://t.co/MXGZubR4eJ,Sprout Social,2020-12-02 02:40:02,124,47
112,1333948005200916486,"At more than 10 kilometres deep, the Mariana Trench in the Pacific Ocean might seem remote enough to be pristine. B… https://t.co/vboWdNCsPw",Sprout Social,2020-12-02 01:36:02,185,59
113,1333906160588648450,"Highly trained and highly educated, postdoctoral researchers often struggle to turn their temporary positions into… https://t.co/9jnB6L5tQH",Sprout Social,2020-12-01 22:49:46,136,45
114,1333810723550621699,"Ahmadreza Djalali, a medical researcher sentenced to death in Iran three years ago on a charge of spying, which he… https://t.co/6giVEmaRsc",Sprout Social,2020-12-01 16:30:32,89,40
115,1333794624008187909,A paper in Nature reports that a live-attenuated yellow fever-vectored SARS-CoV-2 vaccine expressing the Spike prot… https://t.co/P2ZnX97Bx1,Sprout Social,2020-12-01 15:26:33,149,38
116,1333759938276052992,Sign up for Nature Briefing and be entered to win this fun set of lab based board games including Lovelace &amp; Babbag… https://t.co/jwacyZSpq6,Twitter for Advertisers (legacy),2020-12-01 13:08:44,44,14
117,1333742787397824513,Oday Abushalbaq outlines the key habits needed to juggle the duties of his two positions. https://t.co/uHl8kh5x6v,Sprout Social,2020-12-01 12:00:34,43,9
118,1333601728118349825,Rebekah Baglini and Christine Parsons show how small tweaks to language in peer reviews can make words wound or exp… https://t.co/QWOzXKU43B,Sprout Social,2020-12-01 02:40:03,137,33
119,1333585617788276737,An artificial intelligence network developed by Google AI offshoot DeepMind has made a gargantuan leap in solving o… https://t.co/hEfUnLuM9Y,Sprout Social,2020-12-01 01:36:02,2160,622
120,1333543646185066498,"When is sorrow sickness? So begins Jonathan Sadowsky’s The Empire of Depression, a history riven with professional… https://t.co/EfW9jd71lM",Sprout Social,2020-11-30 22:49:15,89,21
